City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nouadhibou,MR,2020-06-28 16:04:35,20.93,-17.03,77.0,61,0,24.16
1,Dikson,RU,2020-06-28 16:06:20,73.51,80.55,43.97,100,100,9.04
2,Aksu,CN,2020-06-28 16:06:21,41.12,80.26,71.13,33,100,4.83
3,Lavrentiya,RU,2020-06-28 16:04:33,65.58,-171.0,38.88,81,41,9.24
4,Tornio,FI,2020-06-28 16:06:21,65.85,24.15,66.2,48,1,6.93
5,Qaanaaq,GL,2020-06-28 16:06:21,77.48,-69.36,43.79,63,29,4.5
6,Constitucion,CL,2020-06-28 16:06:21,-35.33,-72.42,54.0,93,100,15.93
7,Hualmay,PE,2020-06-28 16:04:25,-11.1,-77.61,66.79,68,52,9.04
8,East London,ZA,2020-06-28 16:06:22,-33.02,27.91,64.42,46,22,22.48
9,Jamestown,US,2020-06-28 16:06:22,42.1,-79.24,71.6,64,20,11.41
10,Nanortalik,GL,2020-06-28 16:06:22,60.14,-45.24,44.01,80,100,10.51
11,Weligama,LK,2020-06-28 16:06:22,5.97,80.42,80.98,85,83,10.27
12,Nizhniy Kuranakh,RU,2020-06-28 16:06:22,58.84,125.49,61.88,60,20,1.72
13,Carmen,MX,2020-06-28 16:03:51,18.63,-91.83,82.4,78,40,14.99
14,New Norfolk,AU,2020-06-28 16:06:13,-42.78,147.06,42.01,91,41,2.75
15,Rikitea,PF,2020-06-28 16:03:54,-23.12,-134.97,68.02,64,9,19.86
16,Bay Roberts,CA,2020-06-28 16:06:23,47.6,-53.26,68.0,93,90,3.36
17,Zyryanovsk,KZ,2020-06-28 16:06:23,49.74,84.27,53.4,64,100,0.13
18,Kailua,US,2020-06-28 16:06:23,21.4,-157.74,75.2,73,40,4.7
19,Monteagudo,BO,2020-06-28 16:06:23,-19.82,-63.98,68.34,32,0,4.92
20,Saint-Philippe,RE,2020-06-28 16:06:23,-21.36,55.77,70.0,83,34,3.36
21,Torbay,CA,2020-06-28 16:04:03,47.67,-52.73,68.0,87,75,8.05
22,San Ramon,US,2020-06-28 16:05:32,37.78,-121.98,62.01,63,75,12.75
23,Chimbote,PE,2020-06-28 16:04:42,-9.09,-78.58,68.7,68,54,9.57
24,Kavieng,PG,2020-06-28 16:06:23,-2.57,150.8,82.53,79,35,12.33
25,Carnarvon,AU,2020-06-28 16:04:12,-24.87,113.63,68.0,100,40,8.05
26,Poum,NC,2020-06-28 16:06:23,-20.23,164.02,71.2,70,4,9.66
27,Bluff,NZ,2020-06-28 16:06:20,-46.6,168.33,47.26,75,81,11.92
28,Castro,BR,2020-06-28 16:06:24,-24.79,-50.01,54.68,85,100,6.2
29,Upernavik,GL,2020-06-28 16:06:24,72.79,-56.15,41.63,70,0,8.93
30,Jacqueville,CI,2020-06-28 16:06:24,5.21,-4.41,77.0,88,20,11.41
31,Hilo,US,2020-06-28 16:06:19,19.73,-155.09,71.6,83,20,4.7
32,Ostrovnoy,RU,2020-06-28 16:04:21,68.05,39.51,43.18,75,91,6.22
33,Norman Wells,CA,2020-06-28 16:06:24,65.28,-126.83,57.2,62,20,6.93
34,Tasiilaq,GL,2020-06-28 16:06:24,65.61,-37.64,44.6,81,100,17.22
35,Hobart,AU,2020-06-28 16:05:28,-42.88,147.33,44.6,81,90,8.05
36,Cedar City,US,2020-06-28 16:03:37,37.68,-113.06,78.8,22,1,24.16
37,Avarua,CK,2020-06-28 16:02:51,-21.21,-159.78,71.6,68,56,5.82
38,Huarmey,PE,2020-06-28 16:06:24,-10.07,-78.15,68.74,66,35,10.09
39,Itarema,BR,2020-06-28 16:04:21,-2.92,-39.92,86.09,61,25,13.82
40,Tuktoyaktuk,CA,2020-06-28 16:06:13,69.45,-133.04,39.2,93,75,3.36
41,Hot Springs,US,2020-06-28 16:03:00,34.5,-93.06,84.2,66,75,8.05
42,Shangqiu,CN,2020-06-28 16:06:25,34.45,115.65,75.0,85,100,1.99
