City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather,Rain last hour,Snow last hour,Date
0,Albany,42.6,-73.97,64.99,92,99,1.92,US,light rain,0.0,0,2020-07-01 03:30:19
1,Ostrovnoy,68.05,39.51,57.04,67,100,20.31,RU,overcast clouds,0.0,0,2020-07-01 03:30:20
2,Beba,22.44,-79.73,78.8,88,75,5.82,CU,broken clouds,0.0,0,2020-07-01 03:30:20
3,Qaanaaq,77.48,-69.36,37.02,78,0,1.92,GL,clear sky,0.0,0,2020-07-01 03:30:20
4,Hilo,19.73,-155.09,84.2,54,40,12.75,US,scattered clouds,0.0,0,2020-07-01 03:29:54
5,Rikitea,-23.12,-134.97,69.28,64,32,19.93,PF,scattered clouds,0.0,0,2020-07-01 03:29:54
6,Alice Springs,-23.7,133.88,78.8,21,0,8.05,AU,clear sky,0.0,0,2020-07-01 03:28:09
7,Atuona,-9.8,-139.03,79.52,74,2,21.83,PF,clear sky,0.0,0,2020-07-01 03:30:22
8,Carnarvon,-24.87,113.63,69.8,64,0,17.22,AU,clear sky,0.0,0,2020-07-01 03:30:22
9,Doha,25.29,51.53,95.0,30,0,1.86,QA,clear sky,0.0,0,2020-07-01 03:29:07
10,Punta Arenas,-53.15,-70.92,23.0,92,2,2.24,CL,clear sky,0.0,0,2020-07-01 03:26:07
11,Phichit,16.25,100.42,91.0,55,91,4.45,TH,overcast clouds,0.0,0,2020-07-01 03:30:23
12,Lompoc,34.64,-120.46,59.0,82,0,8.05,US,clear sky,0.0,0,2020-07-01 03:28:30
13,Paikuse,58.38,24.63,60.01,86,84,18.99,EE,light rain,0.95,0,2020-07-01 03:30:24
14,Ravar,31.27,56.81,90.46,12,0,2.04,IR,clear sky,0.0,0,2020-07-01 03:30:24
15,Muscat,23.61,58.59,87.8,84,18,4.7,OM,few clouds,0.0,0,2020-07-01 03:30:24
16,Bridlington,54.08,-0.19,55.99,93,92,3.36,GB,moderate rain,0.0,0,2020-07-01 03:30:24
17,Novopavlovka,51.22,109.21,77.38,38,96,6.69,RU,overcast clouds,0.0,0,2020-07-01 03:30:25
18,San Quintin,30.48,-115.95,62.08,84,0,8.57,MX,clear sky,0.0,0,2020-07-01 03:30:25
19,Vagur,61.47,-6.81,47.39,74,100,17.67,FO,overcast clouds,0.0,0,2020-07-01 03:30:25
